RSE - 0020.png: 0.5194, num_target: 25.0000, num_group: 20.0000
Time - 0020.png: 3.1628, num_target: 25.0000, num_group: 20.0000
PSNR - 0020.png: 13.8699, num_target: 25.0000, num_group: 25.0000
RSE - 0020.png: 0.4971, num_target: 25.0000, num_group: 25.0000
Time - 0020.png: 5.7754, num_target: 25.0000, num_group: 25.0000
PSNR - 0020.png: 12.6039, num_target: 25.0000, num_group: 30.0000
RSE - 0020.png: 0.5751, num_target: 25.0000, num_group: 30.0000
Time - 0020.png: 5.4054, num_target: 25.0000, num_group: 30.0000
PSNR - 0020.png: 13.6527, num_target: 25.0000, num_group: 35.0000
RSE - 0020.png: 0.5097, num_target: 25.0000, num_group: 35.0000
Time - 0020.png: 7.2587, num_target: 25.0000, num_group: 35.0000
PSNR - 0020.png: 17.5429, num_target: 25.0000, num_group: 40.0000
RSE - 0020.png: 0.3257, num_target: 25.0000, num_group: 40.0000
Time - 0020.png: 8.7273, num_target: 25.0000, num_group: 40.0000
PSNR - 0020.png: 23.4734, num_target: 25.0000, num_group: 45.0000
RSE - 0020.png: 0.1645, num_target: 25.0000, num_group: 45.0000
Time - 0020.png: 15.3054, num_target: 25.0000, num_group: 45.0000
PSNR - 0020.png: 16.3613, num_target: 25.0000, num_group: 50.0000
RSE - 0020.png: 0.3732, num_target: 25.0000, num_group: 50.0000
Time - 0020.png: 15.9678, num_target: 25.0000, num_group: 50.0000
PSNR - 0020.png: 12.7023, num_target: 30.0000, num_group: 10.0000
RSE - 0020.png: 0.5686, num_target: 30.0000, num_group: 10.0000
Time - 0020.png: 2.5165, num_target: 30.0000, num_group: 10.0000
PSNR - 0020.png: 15.8989, num_target: 30.0000, num_group: 15.0000
RSE - 0020.png: 0.3936, num_target: 30.0000, num_group: 15.0000
Time - 0020.png: 2.2264, num_target: 30.0000, num_group: 15.0000
PSNR - 0020.png: 15.0550, num_target: 30.0000, num_group: 20.0000
RSE - 0020.png: 0.4337, num_target: 30.0000, num_group: 20.0000
Time - 0020.png: 3.0693, num_target: 30.0000, num_group: 20.0000
PSNR - 0020.png: 14.9727, num_target: 30.0000, num_group: 25.0000
RSE - 0020.png: 0.4378, num_target: 30.0000, num_group: 25.0000
Time - 0020.png: 4.4547, num_target: 30.0000, num_group: 25.0000
PSNR - 0020.png: 17.2183, num_target: 30.0000, num_group: 30.0000
RSE - 0020.png: 0.3381, num_target: 30.0000, num_group: 30.0000
Time - 0020.png: 5.4151, num_target: 30.0000, num_group: 30.0000
PSNR - 0020.png: 17.4448, num_target: 30.0000, num_group: 35.0000
RSE - 0020.png: 0.3294, num_target: 30.0000, num_group: 35.0000
Time - 0020.png: 8.2236, num_target: 30.0000, num_group: 35.0000
PSNR - 0020.png: 20.2762, num_target: 30.0000, num_group: 40.0000
RSE - 0020.png: 0.2378, num_target: 30.0000, num_group: 40.0000
Time - 0020.png: 9.7310, num_target: 30.0000, num_group: 40.0000
PSNR - 0020.png: 17.2086, num_target: 30.0000, num_group: 45.0000
RSE - 0020.png: 0.3385, num_target: 30.0000, num_group: 45.0000
Time - 0020.png: 13.6105, num_target: 30.0000, num_group: 45.0000
PSNR - 0020.png: 23.7278, num_target: 30.0000, num_group: 50.0000
RSE - 0020.png: 0.1598, num_target: 30.0000, num_group: 50.0000
Time - 0020.png: 14.9486, num_target: 30.0000, num_group: 50.0000
PSNR - 0020.png: 13.7957, num_target: 35.0000, num_group: 10.0000
RSE - 0020.png: 0.5014, num_target: 35.0000, num_group: 10.0000
Time - 0020.png: 1.4156, num_target: 35.0000, num_group: 10.0000
PSNR - 0020.png: 12.6687, num_target: 35.0000, num_group: 15.0000
RSE - 0020.png: 0.5708, num_target: 35.0000, num_group: 15.0000
Time - 0020.png: 2.6294, num_target: 35.0000, num_group: 15.0000
PSNR - 0020.png: 15.0016, num_target: 35.0000, num_group: 20.0000
RSE - 0020.png: 0.4364, num_target: 35.0000, num_group: 20.0000
Time - 0020.png: 3.0242, num_target: 35.0000, num_group: 20.0000
PSNR - 0020.png: 18.7600, num_target: 35.0000, num_group: 25.0000
RSE - 0020.png: 0.2831, num_target: 35.0000, num_group: 25.0000
Time - 0020.png: 4.2363, num_target: 35.0000, num_group: 25.0000
PSNR - 0020.png: 15.3396, num_target: 35.0000, num_group: 30.0000
RSE - 0020.png: 0.4197, num_target: 35.0000, num_group: 30.0000
Time - 0020.png: 5.4165, num_target: 35.0000, num_group: 30.0000
PSNR - 0020.png: 18.6980, num_target: 35.0000, num_group: 35.0000
RSE - 0020.png: 0.2851, num_target: 35.0000, num_group: 35.0000
Time - 0020.png: 6.9040, num_target: 35.0000, num_group: 35.0000
PSNR - 0020.png: 14.3253, num_target: 35.0000, num_group: 40.0000
RSE - 0020.png: 0.4717, num_target: 35.0000, num_group: 40.0000
Time - 0020.png: 8.0850, num_target: 35.0000, num_group: 40.0000
PSNR - 0020.png: 23.1399, num_target: 35.0000, num_group: 45.0000
RSE - 0020.png: 0.1710, num_target: 35.0000, num_group: 45.0000
Time - 0020.png: 11.5106, num_target: 35.0000, num_group: 45.0000
PSNR - 0020.png: 22.0166, num_target: 35.0000, num_group: 50.0000
RSE - 0020.png: 0.1946, num_target: 35.0000, num_group: 50.0000
Time - 0020.png: 13.1522, num_target: 35.0000, num_group: 50.0000
PSNR - 0020.png: 14.0216, num_target: 40.0000, num_group: 10.0000
RSE - 0020.png: 0.4885, num_target: 40.0000, num_group: 10.0000
Time - 0020.png: 1.3076, num_target: 40.0000, num_group: 10.0000
PSNR - 0020.png: 14.1052, num_target: 40.0000, num_group: 15.0000
RSE - 0020.png: 0.4838, num_target: 40.0000, num_group: 15.0000
Time - 0020.png: 2.1591, num_target: 40.0000, num_group: 15.0000
PSNR - 0020.png: 18.9340, num_target: 40.0000, num_group: 20.0000
RSE - 0020.png: 0.2775, num_target: 40.0000, num_group: 20.0000
Time - 0020.png: 2.9779, num_target: 40.0000, num_group: 20.0000
PSNR - 0020.png: 13.7400, num_target: 40.0000, num_group: 25.0000
RSE - 0020.png: 0.5046, num_target: 40.0000, num_group: 25.0000
Time - 0020.png: 4.1904, num_target: 40.0000, num_group: 25.0000
PSNR - 0020.png: 20.3694, num_target: 40.0000, num_group: 30.0000
RSE - 0020.png: 0.2352, num_target: 40.0000, num_group: 30.0000
Time - 0020.png: 5.4331, num_target: 40.0000, num_group: 30.0000
PSNR - 0020.png: 16.9748, num_target: 40.0000, num_group: 35.0000
RSE - 0020.png: 0.3477, num_target: 40.0000, num_group: 35.0000
Time - 0020.png: 6.8416, num_target: 40.0000, num_group: 35.0000
PSNR - 0020.png: 20.3098, num_target: 40.0000, num_group: 40.0000
RSE - 0020.png: 0.2368, num_target: 40.0000, num_group: 40.0000
Time - 0020.png: 8.6268, num_target: 40.0000, num_group: 40.0000
PSNR - 0020.png: 16.2522, num_target: 40.0000, num_group: 45.0000
RSE - 0020.png: 0.3779, num_target: 40.0000, num_group: 45.0000
Time - 0020.png: 13.5447, num_target: 40.0000, num_group: 45.0000
PSNR - 0020.png: 20.2566, num_target: 40.0000, num_group: 50.0000
RSE - 0020.png: 0.2383, num_target: 40.0000, num_group: 50.0000
Time - 0020.png: 21.4680, num_target: 40.0000, num_group: 50.0000
PSNR - 0020.png: 15.0328, num_target: 45.0000, num_group: 10.0000
