RSE - 0000.png: 0.4385, num_target: 25.0000, num_group: 20.0000
Time - 0000.png: 3.0032, num_target: 25.0000, num_group: 20.0000
PSNR - 0000.png: 14.3434, num_target: 25.0000, num_group: 25.0000
RSE - 0000.png: 0.2764, num_target: 25.0000, num_group: 25.0000
Time - 0000.png: 4.2173, num_target: 25.0000, num_group: 25.0000
PSNR - 0000.png: 12.3717, num_target: 25.0000, num_group: 30.0000
RSE - 0000.png: 0.3468, num_target: 25.0000, num_group: 30.0000
Time - 0000.png: 5.4623, num_target: 25.0000, num_group: 30.0000
PSNR - 0000.png: 15.4953, num_target: 25.0000, num_group: 35.0000
RSE - 0000.png: 0.2421, num_target: 25.0000, num_group: 35.0000
Time - 0000.png: 6.8953, num_target: 25.0000, num_group: 35.0000
PSNR - 0000.png: 16.5711, num_target: 25.0000, num_group: 40.0000
RSE - 0000.png: 0.2139, num_target: 25.0000, num_group: 40.0000
Time - 0000.png: 8.1614, num_target: 25.0000, num_group: 40.0000
PSNR - 0000.png: 15.7605, num_target: 25.0000, num_group: 45.0000
RSE - 0000.png: 0.2348, num_target: 25.0000, num_group: 45.0000
Time - 0000.png: 11.5558, num_target: 25.0000, num_group: 45.0000
PSNR - 0000.png: 11.5201, num_target: 25.0000, num_group: 50.0000
RSE - 0000.png: 0.3825, num_target: 25.0000, num_group: 50.0000
Time - 0000.png: 13.1262, num_target: 25.0000, num_group: 50.0000
PSNR - 0000.png: 9.0324, num_target: 30.0000, num_group: 10.0000
RSE - 0000.png: 0.5094, num_target: 30.0000, num_group: 10.0000
Time - 0000.png: 1.2986, num_target: 30.0000, num_group: 10.0000
PSNR - 0000.png: 11.0886, num_target: 30.0000, num_group: 15.0000
RSE - 0000.png: 0.4020, num_target: 30.0000, num_group: 15.0000
Time - 0000.png: 2.1536, num_target: 30.0000, num_group: 15.0000
PSNR - 0000.png: 13.8981, num_target: 30.0000, num_group: 20.0000
RSE - 0000.png: 0.2909, num_target: 30.0000, num_group: 20.0000
Time - 0000.png: 3.0078, num_target: 30.0000, num_group: 20.0000
PSNR - 0000.png: 12.1898, num_target: 30.0000, num_group: 25.0000
RSE - 0000.png: 0.3541, num_target: 30.0000, num_group: 25.0000
Time - 0000.png: 4.4097, num_target: 30.0000, num_group: 25.0000
PSNR - 0000.png: 16.4674, num_target: 30.0000, num_group: 30.0000
RSE - 0000.png: 0.2164, num_target: 30.0000, num_group: 30.0000
Time - 0000.png: 5.8254, num_target: 30.0000, num_group: 30.0000
PSNR - 0000.png: 18.3938, num_target: 30.0000, num_group: 35.0000
RSE - 0000.png: 0.1734, num_target: 30.0000, num_group: 35.0000
Time - 0000.png: 6.9218, num_target: 30.0000, num_group: 35.0000
PSNR - 0000.png: 16.1871, num_target: 30.0000, num_group: 40.0000
RSE - 0000.png: 0.2235, num_target: 30.0000, num_group: 40.0000
Time - 0000.png: 8.2816, num_target: 30.0000, num_group: 40.0000
PSNR - 0000.png: 15.0231, num_target: 30.0000, num_group: 45.0000
RSE - 0000.png: 0.2556, num_target: 30.0000, num_group: 45.0000
Time - 0000.png: 11.8043, num_target: 30.0000, num_group: 45.0000
PSNR - 0000.png: 22.8024, num_target: 30.0000, num_group: 50.0000
RSE - 0000.png: 0.1044, num_target: 30.0000, num_group: 50.0000
Time - 0000.png: 13.4116, num_target: 30.0000, num_group: 50.0000
PSNR - 0000.png: 10.0379, num_target: 35.0000, num_group: 10.0000
RSE - 0000.png: 0.4537, num_target: 35.0000, num_group: 10.0000
Time - 0000.png: 1.2875, num_target: 35.0000, num_group: 10.0000
PSNR - 0000.png: 9.0948, num_target: 35.0000, num_group: 15.0000
RSE - 0000.png: 0.5058, num_target: 35.0000, num_group: 15.0000
Time - 0000.png: 2.1632, num_target: 35.0000, num_group: 15.0000
PSNR - 0000.png: 11.6555, num_target: 35.0000, num_group: 20.0000
RSE - 0000.png: 0.3766, num_target: 35.0000, num_group: 20.0000
Time - 0000.png: 3.0229, num_target: 35.0000, num_group: 20.0000
PSNR - 0000.png: 13.9790, num_target: 35.0000, num_group: 25.0000
RSE - 0000.png: 0.2882, num_target: 35.0000, num_group: 25.0000
Time - 0000.png: 4.2153, num_target: 35.0000, num_group: 25.0000
PSNR - 0000.png: 13.9911, num_target: 35.0000, num_group: 30.0000
RSE - 0000.png: 0.2878, num_target: 35.0000, num_group: 30.0000
Time - 0000.png: 5.4568, num_target: 35.0000, num_group: 30.0000
PSNR - 0000.png: 18.7049, num_target: 35.0000, num_group: 35.0000
RSE - 0000.png: 0.1673, num_target: 35.0000, num_group: 35.0000
Time - 0000.png: 6.9619, num_target: 35.0000, num_group: 35.0000
PSNR - 0000.png: 17.3135, num_target: 35.0000, num_group: 40.0000
RSE - 0000.png: 0.1963, num_target: 35.0000, num_group: 40.0000
Time - 0000.png: 8.1668, num_target: 35.0000, num_group: 40.0000
PSNR - 0000.png: 19.1288, num_target: 35.0000, num_group: 45.0000
RSE - 0000.png: 0.1593, num_target: 35.0000, num_group: 45.0000
Time - 0000.png: 11.5415, num_target: 35.0000, num_group: 45.0000
PSNR - 0000.png: 17.3309, num_target: 35.0000, num_group: 50.0000
RSE - 0000.png: 0.1959, num_target: 35.0000, num_group: 50.0000
Time - 0000.png: 13.1526, num_target: 35.0000, num_group: 50.0000
PSNR - 0000.png: 12.1122, num_target: 40.0000, num_group: 10.0000
RSE - 0000.png: 0.3573, num_target: 40.0000, num_group: 10.0000
Time - 0000.png: 1.3821, num_target: 40.0000, num_group: 10.0000
PSNR - 0000.png: 13.2625, num_target: 40.0000, num_group: 15.0000
RSE - 0000.png: 0.3130, num_target: 40.0000, num_group: 15.0000
Time - 0000.png: 2.3861, num_target: 40.0000, num_group: 15.0000
PSNR - 0000.png: 12.5266, num_target: 40.0000, num_group: 20.0000
RSE - 0000.png: 0.3407, num_target: 40.0000, num_group: 20.0000
Time - 0000.png: 7.7687, num_target: 40.0000, num_group: 20.0000
